id,u_id,u_description,u_name,u_screen_name,u_lang,u_statuses_count,u_followers_count,u_friends_count,latitude,longitude,type,place_type,area,c_country,c_state,c_county,c_geoid,created_at,hashtags,text
497193861002047489,720436417,Samar,Hakima,SoltanaaaaH,fr,74665,2740,1870,33.858377,10.111596,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:33:48 -0400,,@SkanderCsl mais moi aussi bb
497194455704035328,720436417,Samar,Hakima,SoltanaaaaH,fr,74666,2742,1870,33.858362,10.1116,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:36:10 -0400,,Bref je suis tunisienne
497194942360715265,720436417,Samar,Hakima,SoltanaaaaH,fr,74669,2743,1871,33.858333,10.111576,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:38:06 -0400,,Mais frero ça pleure devant le Castello
497195332615561216,720436417,Samar,Hakima,SoltanaaaaH,fr,74672,2743,1871,33.858326,10.111582,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:39:39 -0400,,@Aymeen92 non trql je vous excuse
497183801093926912,720436417,Samar,Hakima,SoltanaaaaH,fr,74634,2733,1866,33.858365,10.111577,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 20:53:50 -0400,,C'était super bien
497191510564425728,720436417,Samar,Hakima,SoltanaaaaH,fr,74654,2739,1870,33.858365,10.111576,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:24:28 -0400,,Les gens ils sont la a raconter leur vie dans mes mentions mais frero qui te calcul
497192326792740864,720436417,Samar,Hakima,SoltanaaaaH,fr,74660,2740,1871,33.858368,10.111551,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:27:42 -0400,LRT ,Mdr #LRT donc moi j'ai perdu du temps a répondre a ça
497195261773762561,720436417,Samar,Hakima,SoltanaaaaH,fr,74671,2743,1871,33.858326,10.111582,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:39:22 -0400,,Parce que je vois mes potes elles prennent plus de un ans pour l'avoir
497195997521793025,720436417,Samar,Hakima,SoltanaaaaH,fr,74674,2743,1871,33.858357,10.111601,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:42:17 -0400,,@ERZ233 mais c'est grave chaud le code on ma dit
497198065229791232,720436417,Samar,Hakima,SoltanaaaaH,fr,74686,2744,1872,33.858357,10.111601,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:50:30 -0400,,Quand je passe a elle j'ai envie de tout casser
497198218854559744,720436417,Samar,Hakima,SoltanaaaaH,fr,74687,2744,1872,33.858371,10.111596,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 21:51:07 -0400,,Ta fierté ne fais pas de toi un homme msk
497122969458868224,720436417,Samar,Hakima,SoltanaaaaH,fr,74607,2736,1868,33.85828,10.111504,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 16:52:06 -0400,,En ce moment tout le monde est syriens c'est dingue
496844943726743554,720436417,Samar,Hakima,SoltanaaaaH,fr,74540,2735,1855,33.858464,10.111589,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:27:20 -0400,,Mais el hamdoulilah quand même
496846346859864064,720436417,Samar,Hakima,SoltanaaaaH,fr,74548,2735,1856,33.858319,10.111531,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:32:54 -0400,,Ceux qui préviennent avant de frapper ne frappe pas
496847268059033602,720436417,Samar,Hakima,SoltanaaaaH,fr,74550,2735,1856,33.858363,10.111572,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:36:34 -0400,,Parle pas de pute quand t'en a une dans ton foyer
496847784210092032,720436417,Samar,Hakima,SoltanaaaaH,fr,74551,2735,1856,33.858309,10.111578,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:38:37 -0400,,@Haytem_PSG Aah gars
496848082135695361,720436417,Samar,Hakima,SoltanaaaaH,fr,74552,2735,1856,33.858309,10.111578,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:39:48 -0400,,ils font des problèmes après direct ils vont appeler leur famille mais frère tu t'es créer des problèmes tout seul t'assume tout seul
496848380342337536,720436417,Samar,Hakima,SoltanaaaaH,fr,74554,2735,1856,33.85833,10.111515,llp,country,156660526163.688,TUN,Gabès,,,2014-08-05 22:40:59 -0400,,Moi j'ai pas de grand frère je me fessais souvent niker par des grands
496939614176038912,427553947,"",loussa11ben,loussa11ben,fr,14167,465,491,33.889767,10.113596,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 04:43:31 -0400,,@samirdoc Un homme issu d'une branche de palmier ayant goûté les saucisses de Francfort et les coquilles Saint-Jacques ne peut être que ...
496990890683281408,427553947,"",loussa11ben,loussa11ben,fr,14170,465,491,33.889767,10.113592,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 08:07:16 -0400,Bourguiba ,@fatoumabhn @adel_0 @hakim1zed @myr_mir @arabesque_tn Poussière d'individus disait #Bourguiba dans les années 50  un grand nom de l'histoire
496993982912954368,720436417,Samar,Hakima,SoltanaaaaH,fr,74578,2736,1869,33.858295,10.111502,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 08:19:33 -0400,,Mais moi je suis une féministe
496994113569693697,720436417,Samar,Hakima,SoltanaaaaH,fr,74579,2736,1869,33.858345,10.111549,llp,country,156660526163.688,TUN,Gabès,,,2014-08-06 08:20:05 -0400,,Mais je suis pas une femen femen parce que elle c'est des putes
497734689692860417,427553947,"",loussa11ben,loussa11ben,fr,14200,464,490,33.887735,10.102706,llp,country,156660526163.688,TUN,Gabès,,,2014-08-08 09:22:52 -0400,,Irak : les Etats-Unis bombardent des positions de l'Etat islamique http://t.co/rxEwUyHboD via @Le_Parisien
497700406664130560,720436417,Samar,Hakima☀️,SoltanaaaaH,fr,74937,2772,1894,33.858299,10.111523,llp,country,156660526163.688,TUN,Gabès,,,2014-08-08 07:06:38 -0400,,Mais parce que je me réveil a 12 aussi
498372764760547328,427553947,"",loussa11ben,loussa11ben,fr,14230,465,491,33.889768,10.11356,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 03:38:21 -0400,Fabius ,De la Tunisie à l'Iraq il n'y a qu'un saut #Fabius l'a fait ...
498362118966898688,427553947,"",loussa11ben,loussa11ben,fr,14229,465,491,33.889767,10.113559,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 02:56:02 -0400,,@kristinem5 @NeoResistant Malheureusement on ne fait qu'allumer les lents pions ...
498403235607375873,427553947,"",loussa11ben,loussa11ben,fr,14235,465,491,33.889768,10.11356,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 05:39:25 -0400,,وردة الجزائرية - العيون السود - حفلة رائعة كاملة … : http://t.co/ms5QDUKgrr     Une véritable musicothérapie ...
498436965092835328,259350515,♥♥♥Tounsiya♥♥♥#TeamTunisie♥ #Sousse ✌ #Sahline #Monastir♥ imen Snap:imennnne,Fi tounes✌️,Nemii12,fr,4253,261,261,33.944447,10.037207,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 07:53:27 -0400,,@AzizaVidaloka Azziiiiiizzzzzzzooooouuuuu ❤️❤️❤️❤️❤️❤️❤️❤️
498420409617117184,427553947,"",loussa11ben,loussa11ben,fr,14237,466,491,33.889779,10.113557,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 06:47:40 -0400,,@helmiattia @Louloucss @LePoint Et quel terrain ... http://t.co/AxPOyNJswD
498445134703628288,720436417,Samar,Hakima☀️,SoltanaaaaH,fr,75080,2776,1887,33.858353,10.111563,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 08:25:55 -0400,,@HSbagh  jtm too
498484120700588033,427553947,"",loussa11ben,loussa11ben,fr,14242,465,491,33.889767,10.11356,llp,country,156660526163.688,TUN,Gabès,,,2014-08-10 11:00:50 -0400,,Nid de frelons ... http://t.co/7pBNsmF0w8
497759986022621184,720436417,Samar,Hakima☀️,SoltanaaaaH,fr,74984,2775,1897,33.858355,10.111563,llp,country,156660526163.688,TUN,Gabès,,,2014-08-08 11:03:23 -0400,,@RyanLoas il est trop doux
506633362728288256,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76363,2815,1931,33.858346,10.111603,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:43:01 -0400,,@AminKhazri10 Mdrrr c'est trop tard la
506633866527125504,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76366,2815,1931,33.858358,10.111545,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:45:01 -0400,,"@AminKhazri10 aaaaaah intéressent je vais en parlait a ma mère , c'est de Djerba ?"
506634560512462849,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76372,2815,1931,33.858351,10.111539,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:47:46 -0400,,Favorisez si un jour vous allez vous intéresser a ma vie RT si tu t'en blc
506635028806127616,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76377,2814,1931,33.858358,10.11155,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:49:38 -0400,,@MaximeFdp c'est que pour mademoiselle Becha
506635632664662017,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76379,2814,1931,33.858314,10.111591,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:52:02 -0400,,Mais comme il sort avec une tunisienne c'est comme si il sortait avec moi parce que je suis tunisienne donc enfaite c'est mon gars
506635733650919424,720436417,Samar ❤️,السلطانة حكيمة,SoltanaaaaH,fr,76381,2814,1931,33.858326,10.111584,llp,country,156660526163.688,TUN,Gabès,,,2014-09-01 22:52:26 -0400,,"Mais pq ta mît ""D ✨"""
